大カテゴリー,コンテンツ数,BigCategory_id
ブログと人,279,1
科学と技術,251,2
教養と教育,230,3
ニュースと政治,351,4
芸術とカルチャー,216,5
非営利団体と社会活動,103,6
健康と医学,254,7
自然と生物,91,8
エンターテイメント,79,9
ハウツーとスタイル,36,10
