speaker,speaker_id,コンテンツ数
ジュリア・ゲレフ,205,1
ブレイス・アグエラ・ヤルカス,206,2
トム・ヒューム,207,1
シーマ・バンスール,208,1
ブライアン･リトル,209,1
ジル・ヒックス,210,1
トリスタン・ハリス,211,1
アンドリュー・ペリング,212,1
ジャミラ・ラキーブ,213,1
アンドリュー・ユーン,214,1
ネギン・ファルサド,215,1
サジェイ・サミュエル,216,1
シャオラン・シュエ,217,2
アミット・スード,218,2
セドリック・ヴィラニ,219,1
スティーヴン・ウィルクス,220,1
サマンサ・ナット,221,1
ザリア・フォーマン,222,1
マリアーノ・シグマン,223,1
リディア・ユクナヴィッチ,224,1
トレバー・ティム,225,1
ローラ・インドルフィ,226,1
カン・リー,227,1
サンギータ・バティア,228,1
サンフォード・ビガーズ,229,1
ウリ・ハッソン,230,1
ジェニファー・カーン,231,1
マイケル・ボデカー,232,1
ダン・パロッタ,233,2
サラ・グレイ,234,1
リッカルド・サバティーニ,235,1
マイケル・メトカーフ,236,2
アミーラ・ハロウダ,237,1
ルーク・デュボワ,238,1
シヴァーニ・シロヤ,239,1
ケネス・ラコバラ,240,1
ジョシュア・プレーガー,241,2
クリス・アンダーソン,242,2
クリスティアナ・フィゲレス,243,1
メアリー・ノリス,244,1
アストロ・テラー,245,1
ポーラ・ハモンド,246,1
スティーブン・ペトラネック,247,1
ヒュー・エヴァンス,248,1
リーナス・トーバルズ,249,1
ロバート・パーマー,250,1
タベサ・ボヤジアン,251,1
ダニエル・フェインバーグ,252,1
ヘイリー・ヴァン・ダイク,253,1
クヌート・ハーネス,254,1
リサ・ニップ,255,1
岡崎真理,256,1
ダン・グロス,257,1
アンジェリカ・ダス,258,1
アレックス･キップマン,259,1
シヤンダ・モフツィシバ,260,1
ラティフ・ナサー,261,2
キャロル・フィッシュマン・コーエン,262,1
アダム・フォス,263,1
メロン・グリベッツ,264,1
アーサー・ブルックス,265,1
ジェシカ・ラド,266,1
ティム・アーバン,267,1
ジョー・ゲビア,268,1
ケーシー・ジェラルド,269,1
ツェリン・トブゲ,270,1
マイルハ・ソネジ,271,1
ローラ・ロビンソン,272,1
ケイレブ・ハーパー,273,1
レシュマ・サジャーニ,274,1
トラビス・カラニック,275,1
ラス・オルトマン,276,1
マグダ・セイエグ,277,1
トーマス・ペスチャック,278,1
アイヴァン・カヨーティ,279,1
メアリー・バセット,280,1
オードリー・チョイ,281,1
ダリア・モガヘッド,282,1
アル・ゴア,283,4
ラファエロ・ダンドリーア,284,2
アラン・アダムス,285,1
ションダ・ライムズ,286,1
セレステ・ヘッドリー,287,1
ジョスリン・ブロック,288,1
ショーン・フォルマー,289,1
ダンビサ・モヨ,290,2
マシュー・ウィリアムズ,291,1
パーディス・サベティ,292,1
ジャドソン・ブルワー,293,1
アンドレス・ルーソ,294,1
リンダ・リウカス,295,1
メラティ＆イサベル・ワイゼン,296,1
アウケ・エイスペールト,297,1
ターニャ・シモンチェリ,298,1
デビッド・グルーバー,299,1
ヤニス・バルファキス,300,1
エリザベス・レヴ,301,1
アチェニョ・イダチャバ,302,1
ジル・ファラント,303,1
ジル・ハイネス,304,1
オーレ・シェーレン,305,1
ティム・ハワード,306,1
デイビッド・セドラック,307,1
アオマワ・シールズ,308,1
セバスチャン・ワーニック,309,2
ハリー・クリフ,310,1
